pos,row,col,slope2d,slope3d,aspect2d,aspect3d,global2d,global3d,beam2d,beam3d,dif2d,dif3d,ref2d,ref3d,percentageShaded2d,percentageShaded3d
"[-3311.138828,-9374.294131,13.879275]",3276,1052,3.132761,3.018024,296.152069,313.561003,59314.078125,60890.050781,37948.988281,39531.683594,21365.080078,21350.259766,0.000000,8.107491,0.655556,0.663492,
"[-3366.135475,-9057.374030,19.727487]",2008,832,1.239650,3.056451,85.612137,196.199056,95941.804688,97602.453125,74576.742188,76238.906250,21365.080078,21349.886719,0.000000,13.653082,0.252381,0.252381,
"[-3079.770150,-9531.745310,10.524212]",3906,1978,0.755732,3.017980,43.388771,319.766413,61511.390625,64904.832031,40146.304688,43545.800781,21365.080078,21350.259766,0.000000,8.768842,0.487302,0.473016,
"[-3000.565577,-8758.849015,21.362583]",814,2295,0.223605,4.585075,138.883881,222.037336,84611.000000,89938.921875,63245.914063,68580.914063,21365.080078,21330.894531,0.000000,27.113600,0.461905,0.455556,
"[-3014.868734,-9267.589178,14.471485]",2849,2237,0.503088,2.861543,44.784389,6.133276,70694.531250,70327.070313,49329.445313,48966.363281,21365.080078,21351.757813,0.000000,8.952387,0.573016,0.549206,
"[-2861.462336,-9176.118181,15.895554]",2483,2851,3.578751,4.453539,342.751190,348.146941,63528.519531,67375.000000,42163.445313,46022.828125,21365.080078,21332.828125,0.000000,19.354176,0.628571,0.600000,
"[-2609.814064,-9562.885804,9.413119]",4030,3858,4.211184,3.099122,211.804016,153.664510,94572.226563,90123.671875,73207.156250,68760.414063,21365.080078,21349.457031,0.000000,13.779598,0.239683,0.253968,
"[-2881.439750,-8661.661081,19.626714]",425,2771,0.848639,4.969985,345.015350,317.369006,85319.367188,90537.531250,63954.289063,69180.367188,21365.080078,21324.914063,0.000000,32.244625,0.392063,0.369841,
"[-3235.996889,-9449.925849,11.416177]",3578,1353,1.635266,2.891366,195.858109,198.996304,81098.179688,85961.546875,59733.085938,64599.546875,21365.080078,21351.480469,0.000000,10.534371,0.414286,0.401587,
"[-3047.504107,-9455.541899,11.373151]",3601,2107,1.400031,0.874502,209.893936,209.472519,65773.593750,73895.835938,44408.527344,52531.144531,21365.080078,21363.832031,0.000000,0.855628,0.641270,0.569841,
"[-2729.745702,-9512.240465,9.261232]",3828,3378,1.979453,2.920500,224.386246,177.346084,55368.765625,56171.363281,34003.687500,34812.718750,21365.080078,21351.205078,0.000000,7.445981,0.644444,0.617460,
"[-2750.596079,-9105.261787,16.995285]",2200,3295,2.770748,3.044950,262.700226,179.795531,52577.515625,56112.816406,31212.433594,34755.078125,21365.080078,21350.000000,0.000000,7.745001,0.723810,0.706349,
"[-3278.939936,-9486.985054,11.654201]",3727,1181,0.784601,1.868007,284.461060,231.405102,71369.164063,79688.921875,50004.074219,58325.394531,21365.080078,21359.404297,0.000000,4.130461,0.555556,0.504762,
"[-2767.450973,-9104.790981,17.063539]",2198,3227,0.418435,1.004241,78.795715,51.035664,69906.218750,69975.585938,48541.140625,48611.062500,21365.080078,21363.437500,0.000000,1.090457,0.615873,0.606349,
"[-3072.920750,-9536.655151,10.589524]",3925,2005,1.615105,0.896326,77.293999,202.227091,51802.699219,52660.019531,30437.615234,31295.607422,21365.080078,21363.771484,0.000000,0.637614,0.612698,0.606349,
"[-3038.337999,-8748.289496,20.939935]",772,2144,0.925780,1.315071,167.151367,347.864510,94421.953125,94871.554688,73056.890625,73506.796875,21365.080078,21362.261719,0.000000,2.489480,0.255556,0.241270,
"[-3242.611259,-9002.491432,21.666782]",1789,1327,0.629233,1.125553,209.369675,305.830371,40389.578125,45277.738281,19024.498047,23913.863281,21365.080078,21363.019531,0.000000,0.856078,0.704762,0.665079,
"[-3388.026692,-8997.144414,19.805118]",1767,745,1.641656,2.127010,87.341339,53.656673,80189.281250,77282.835938,58824.195313,55919.613281,21365.080078,21357.722656,0.000000,5.516261,0.455556,0.460317,
"[-3070.133985,-8872.750584,22.261386]",1270,2016,0.219417,2.569744,263.278503,26.616933,94773.250000,91407.703125,73408.179688,70043.859375,21365.080078,21354.339844,0.000000,9.511974,0.266667,0.271429,
