pos,row,col,slope2d,slope3d,aspect2d,aspect3d,global2d,global3d,beam2d,beam3d,dif2d,dif3d,ref2d,ref3d,percentageShaded2d,percentageShaded3d
"[-2899.536938,-8922.218906,21.608137]",1467,2699,2.182833,1.572911,270.313965,69.131330,2059635.250000,2038121.000000,1704932.500000,1683408.000000,354702.187500,354635.312500,0.000000,77.891319,0.321725,0.316048,
"[-2787.361237,-8679.921651,20.077615]",498,3148,0.496559,2.102025,43.234318,358.664712,1644482.250000,1649601.125000,1289781.125000,1294906.125000,354702.187500,354582.718750,0.000000,112.262764,0.509170,0.497162,
"[-3350.153543,-8725.959811,11.115459]",682,896,0.377531,0.725904,107.068588,345.513461,1284046.750000,1296897.000000,929344.375000,942198.750000,354702.187500,354688.000000,0.000000,10.403277,0.685699,0.681332,
"[-2973.973791,-8717.115373,20.802110]",647,2401,2.232462,3.055457,87.246086,45.163388,2028021.625000,1990841.375000,1673320.000000,1636101.875000,354702.187500,354449.937500,0.000000,289.004639,0.299454,0.297817,
"[-2861.025855,-8882.906555,21.166942]",1310,2853,2.000600,3.840640,174.742981,328.179353,1243835.500000,1254169.250000,889133.812500,899578.812500,354702.187500,354303.937500,0.000000,285.693787,0.643668,0.631550,
"[-3390.343400,-9005.148126,19.829065]",1799,736,0.220662,3.077180,110.966209,116.679712,2073575.000000,2014749.125000,1718872.000000,1660005.750000,354702.187500,354446.437500,0.000000,298.318481,0.288865,0.294432,
"[-3240.932485,-9511.668772,11.262227]",3825,1333,0.243933,0.378562,43.783829,303.558001,2012216.125000,2037269.250000,1657514.625000,1682565.625000,354702.187500,354698.375000,0.000000,4.435853,0.344105,0.335153,
"[-2682.471417,-9311.239675,12.230978]",3024,3567,2.337536,2.851151,248.491287,261.457570,1892304.250000,1949516.625000,1537602.125000,1594797.500000,354702.187500,354482.625000,0.000000,235.862808,0.399891,0.394105,
"[-3199.567486,-9144.843171,18.299688]",2358,1499,0.888951,1.831419,353.673035,354.484595,1912159.250000,1932701.375000,1557457.625000,1577990.750000,354702.187500,354611.500000,0.000000,98.544075,0.377074,0.368886,
"[-2806.801444,-9155.335432,17.167789]",2400,3070,2.557501,1.393684,256.779999,203.016867,1970782.375000,1998251.500000,1616081.125000,1643543.125000,354702.187500,354649.656250,0.000000,58.974361,0.373581,0.358406,
"[-2822.111866,-9548.929751,9.229242]",3974,3008,1.920151,3.675398,23.259155,52.455659,2177974.250000,2119694.000000,1823271.875000,1764909.250000,354702.187500,354337.250000,0.000000,448.435486,0.162991,0.156769,
"[-3256.712964,-8959.917063,21.696996]",1618,1270,0.598434,2.582895,78.150406,216.728253,1177292.250000,1226537.875000,822590.250000,871891.875000,354702.187500,354521.968750,0.000000,123.575546,0.688974,0.679694,
"[-2746.734898,-9167.811807,16.001571]",2450,3310,4.572713,3.269285,247.230042,229.528865,1783388.125000,1812696.500000,1428685.750000,1457993.125000,354702.187500,354413.531250,0.000000,291.009705,0.421616,0.423690,
"[-3424.086764,-8991.595622,19.695510]",1745,601,0.282024,0.415594,308.202118,109.815597,1766697.125000,1795584.750000,1411993.750000,1440882.625000,354702.187500,354697.437500,0.000000,4.743528,0.431878,0.411463,
"[-2821.373205,-9491.659491,9.919088]",3745,3011,0.323538,1.739855,320.516541,193.085189,2081478.625000,2095725.375000,1726777.125000,1741010.000000,354702.187500,354620.312500,0.000000,96.067078,0.300109,0.297707,
