size, percentage
4,80.8824,
4,80.719,
4,85.866,
4,85.2941,
4,79.9837,
4,81.1275,
4,84.232,
4,91.9935,
4,84.3137,
4,85.1307,
4,81.5359,
4,83.5784,
4,90.1961,
4,85.866,
4,66.9118,
4,79.7386,
4,81.2092,
4,85.5392,
4,83.2516,
4,81.6176,
4,86.3562,
4,83.0882,
4,77.6961,
4,82.6797,
4,82.9248,
4,79.4118,
4,74.2647,
4,79.902,
4,88.3987,
4,76.7974,
4,83.0882,
4,83.8235,
4,67.7288,
4,81.8627,
4,83.6601,
4,79.9837,
4,80.3922,
4,70.7516,
4,79.2484,
4,82.7614,
4,83.0065,
4,81.5359,
4,80.1471,
4,81.6993,
4,66.9935,
4,79.5752,
4,82.8431,
4,79.2484,
4,86.2745,
4,65.6863,
4,87.6634,
4,84.6405,
4,87.5,
4,86.5196,
4,85.2941,
4,82.598,
4,88.317,
4,89.0523,
4,58.8235,
4,81.781,
4,79.4935,
4,81.1275,
4,80.0654,
4,89.7059,
4,69.0359,
4,78.3497,
4,84.3137,
4,78.8399,
4,85.3758,
4,75.6536,
4,78.4314,
4,82.0261,
4,83.7418,
4,72.0588,
4,82.1895,
4,80.3105,
4,89.7059,
4,85.866,
4,87.9902,
4,84.232,
4,82.0261,
4,88.3987,
4,82.3529,
4,67.7288,
4,88.0719,
4,84.3954,
4,82.1078,
4,79.9837,
4,85.4575,
4,83.5784,
4,77.6144,
4,86.5196,
4,88.3987,
4,86.7647,
4,85.2124,
4,85.5392,
4,81.3725,
4,84.8856,
4,86.9281,
4,66.1765,
8,89.8693,
8,90.1144,
8,93.0556,
8,89.3791,
8,89.4608,
8,88.0719,
8,89.8693,
8,89.7876,
8,88.3987,
8,91.0948,
8,86.9281,
8,88.317,
8,88.4804,
8,92.3203,
8,84.1503,
8,87.6634,
8,90.1961,
8,89.6242,
8,85.866,
8,90.4412,
8,88.9706,
8,85.5392,
8,87.5817,
8,92.0752,
8,85.5392,
8,87.0098,
8,87.6634,
8,88.3987,
8,90.1961,
8,90.0327,
8,94.281,
8,86.4379,
8,80.0654,
8,86.3562,
8,89.4608,
8,87.5817,
8,90.4412,
8,83.415,
8,84.5588,
8,89.5425,
8,90.6046,
8,88.9706,
8,89.951,
8,87.9085,
8,80.9641,
8,86.0294,
8,89.951,
8,90.4412,
8,91.0948,
8,85.866,
8,94.1993,
8,89.7059,
8,87.4183,
8,89.6242,
8,90.9314,
8,86.7647,
8,90.768,
8,93.0556,
8,85.2941,
8,88.4804,
8,89.7059,
8,90.9314,
8,86.683,
8,92.2386,
8,81.3725,
8,82.8431,
8,94.0359,
8,85.7843,
8,89.2974,
8,86.3562,
8,89.2157,
8,88.9706,
8,89.3791,
8,90.0327,
8,89.2974,
8,84.8856,
8,92.7288,
8,91.2582,
8,88.317,
8,87.3366,
8,87.0098,
8,93.5458,
8,90.8497,
8,86.6013,
8,93.8725,
8,89.4608,
8,91.1765,
8,88.3987,
8,85.4575,
8,89.2157,
8,88.8072,
8,92.0752,
8,87.0915,
8,87.4183,
8,89.2974,
8,88.6438,
8,88.317,
8,85.2124,
8,91.9118,
8,88.1536,
16,94.3627,
16,94.0359,
16,95.9967,
16,94.281,
16,93.7092,
16,93.4641,
16,93.3824,
16,95.5065,
16,95.3431,
16,94.9346,
16,95.4248,
16,92.2386,
16,92.8105,
16,95.1797,
16,91.9118,
16,94.281,
16,95.5882,
16,93.9542,
16,92.5654,
16,94.1993,
16,94.281,
16,92.9739,
16,94.4444,
16,94.0359,
16,91.9118,
16,91.9118,
16,93.3824,
16,91.7484,
16,91.8301,
16,95.098,
16,97.0588,
16,91.9935,
16,90.0327,
16,92.3203,
16,93.1373,
16,91.8301,
16,94.1993,
16,91.585,
16,92.5654,
16,94.6895,
16,95.9967,
16,95.098,
16,93.6275,
16,93.9542,
16,92.6471,
16,93.4641,
16,94.5261,
16,95.2614,
16,93.8725,
16,91.585,
16,96.2418,
16,93.7908,
16,93.8725,
16,94.4444,
16,94.6895,
16,93.3007,
16,94.0359,
16,95.8333,
16,93.4641,
16,94.1176,
16,95.5065,
16,94.8529,
16,91.5033,
16,95.4248,
16,90.768,
16,91.7484,
16,96.9771,
16,92.0752,
16,94.1993,
16,93.6275,
16,94.1176,
16,93.9542,
16,94.1176,
16,94.6078,
16,92.7288,
16,93.6275,
16,94.5261,
16,95.5065,
16,94.6895,
16,91.9935,
16,88.8072,
16,95.9967,
16,94.6078,
16,90.6863,
16,96.732,
16,93.4641,
16,95.5882,
16,96.3235,
16,94.1176,
16,94.8529,
16,93.219,
16,95.098,
16,93.0556,
16,93.5458,
16,94.6078,
16,94.8529,
16,94.6078,
16,92.9739,
16,94.6895,
16,92.8922,
32,96.732,
32,97.0588,
32,97.3039,
32,96.8954,
32,97.2222,
32,96.5686,
32,96.8954,
32,96.6503,
32,96.8954,
32,97.0588,
32,96.8137,
32,95.7516,
32,96.4869,
32,98.2026,
32,95.6699,
32,95.3431,
