pos,row,col,slope2d,slope3d,aspect2d,aspect3d,global2d,global3d,beam2d,beam3d,dif2d,dif3d,ref2d,ref3d,percentageShaded,percentageShaded3d,shadow2d,shadow3d
"[-3032.529440,-8856.642272,22.252079]",1205,2167,1.213092,2.311202,218.505066,182.008958,2129.795410,2129.795410,1485.504761,1485.504761,644.290710,644.290710,0.000000,0.000000,0.500000,0.500000,"1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,","1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,",
"[-3371.507552,-9312.584837,31.531967]",3029,811,3.251539,0.959401,141.513077,294.127889,1350.746582,1350.746582,706.455872,706.455872,644.290710,644.290710,0.000000,0.000000,0.650000,0.650000,"1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,","1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,",
"[-2848.099292,-9481.806181,10.024278]",3706,2905,4.350459,2.689027,336.591461,336.446801,2670.123047,2670.123047,2025.832275,2025.832275,644.290710,644.290710,0.000000,0.000000,0.350000,0.350000,"1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,","1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,",
"[-3270.747517,-8916.838259,21.684705]",1446,1214,3.832916,2.245524,350.775940,350.887566,2227.531006,2404.867188,1583.240234,1760.576538,644.290710,644.290710,0.000000,0.000000,0.550000,0.450000,"1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,","1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,",
"[-2601.487343,-8929.684554,15.577918]",1497,3891,0.452497,3.290262,239.589172,141.420872,1297.366333,1297.366333,653.075623,653.075623,644.290710,644.290710,0.000000,0.000000,0.750000,0.750000,"1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,","1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,",
"[-3383.628303,-8989.107073,19.820402]",1735,762,0.495290,2.876667,296.630066,331.111838,2270.120361,2270.120361,1625.829712,1625.829712,644.290710,644.290710,0.000000,0.000000,0.500000,0.500000,"1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,","1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,",
"[-3414.954232,-8964.356097,19.784706]",1636,637,1.000741,3.691064,166.255081,219.428254,2430.518311,2430.518311,1786.227661,1786.227661,644.290710,644.290710,0.000000,0.000000,0.450000,0.450000,"1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,","1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,",
"[-2903.565996,-8707.766499,20.504505]",610,2683,1.087773,0.760160,70.884331,71.280378,2202.273926,2290.193359,1557.983154,1645.902588,644.290710,644.290710,0.000000,0.000000,0.450000,0.450000,"1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,","1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,",
"[-2931.232197,-8836.733879,22.164159]",1126,2572,2.535706,2.276815,152.758438,273.608644,2197.642090,2197.642090,1553.351318,1553.351318,644.290710,644.290710,0.000000,0.000000,0.550000,0.550000,"1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,","1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,",
"[-3311.978215,-8924.875601,40.385675]",1478,1049,0.137951,0.634425,8.014561,261.493021,2710.392822,2710.392822,2066.102051,2066.102051,644.290710,644.290710,0.000000,0.000000,0.300000,0.300000,"1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,","1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,",
"[-3274.608698,-8766.684582,21.544839]",845,1199,0.814214,1.516806,287.656799,251.287018,2723.503174,2670.123047,2079.212646,2025.832275,644.290710,644.290710,0.000000,0.000000,0.250000,0.350000,"1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,","1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,",
"[-3035.383356,-8862.056548,22.222850]",1227,2155,0.976267,0.947419,155.210526,8.881188,2470.788086,2310.390137,1826.497314,1666.099487,644.290710,644.290710,0.000000,0.000000,0.400000,0.450000,"1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,","1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,",
"[-3419.621225,-9237.154894,39.854372]",2727,618,2.118009,2.341412,283.219208,320.954605,2323.500732,2324.268311,1679.209961,1679.977539,644.290710,644.290710,0.000000,0.000000,0.400000,0.350000,"1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,","0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,",
"[-2895.709332,-8949.122141,21.062381]",1575,2714,3.730837,4.966392,331.023865,299.581911,2430.518311,2430.518311,1786.227661,1786.227661,644.290710,644.290710,0.000000,0.000000,0.450000,0.450000,"1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,","1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,",
